link,comments
https://twitter.com/kunalkamra88/status/1760945445965299974,Neither stand up nor this kind of humour is not my cup of tea
https://twitter.com/kunalkamra88/status/1760945445965299974,I was also thinking same today. How ?
https://twitter.com/kunalkamra88/status/1760945445965299974,
https://twitter.com/kunalkamra88/status/1760945445965299974,Pidi आज सस्ता वाला नशा किया है क्या?
https://twitter.com/kunalkamra88/status/1760945445965299974,#HaftaVasooliSarkar
https://twitter.com/kunalkamra88/status/1760945445965299974,"आप क्रोनोलॉजी समझिए:-

पहले ED, IT, CBI का छापा,
फिर Electoral Bonds की खरीदारी
और उसके बाद क्लीन चिट और Bail

जो नही डरा, उसको भेजा जेल!

Wah Modi ji Wah!"
https://twitter.com/historyinmemes/status/1760826235058303224,Guy falls and accidentally eats Shawarma
https://twitter.com/historyinmemes/status/1760826235058303224,this how it happened
https://twitter.com/historyinmemes/status/1760826235058303224,The person who is asking the questions. 
https://twitter.com/historyinmemes/status/1760826235058303224,Blud was like
https://twitter.com/historyinmemes/status/1760826235058303224,You ever had shawarma before?
https://twitter.com/ANI/status/1761051870380827057,"#WATCH | Maharashtra: BJP leader Ashok Chavan says, ""Maratha Reservation Bill has been passed in the Assembly, under that law it has been decided to give 10% reservation and when this decision has been taken, it should be accepted by everyone and whatever movement is there, should be stopped because people are getting troubled by it. He (Manoj Jarange Patil) know why he is agitating? What we are saying is that when the government has fulfilled all his demands by bringing this law, then there is no need for agitation."""
https://twitter.com/ANI/status/1761051870380827057,"मुख्यमंत्री डॉक्टर मोहन यादव जी के कुशल नेतृत्व में पर्यटन नगरी के रूप पहचान रखने वाला मध्यप्रदेश का उज्जैन,अब निवेश केंद्र के रूप में बना रहा है अपनी नई पहचान। 

@CMMadhyaPradesh @DrMohanYadav51 @JansamparkMP @MPIDC @Industryminist1 @FollowCII @CII4WR @TheEDA_EY"
https://twitter.com/ANI/status/1761051870380827057,Has he started again? Why?
https://twitter.com/ANI/status/1761051870380827057,Har Har Shambhu ...
https://twitter.com/ANI/status/1761051870380827057,"महाराष्ट्र: बीजेपी नेता अशोक चव्हाण का कहना है, ''मराठा आरक्षण बिल विधानसभा में पारित हो चुका है, उस कानून के तहत 10% आरक्षण देने का फैसला किया गया है और जब ये फैसला लिया गया है तो इसे सभी को मानना चाहिए और जो भी आंदोलन है, उसे मानना चाहिए.''  ,को रोका जाना चाहिए क्योंकि इससे…"
https://twitter.com/ANI/status/1761051870380827057,Reservations///////////////////////////////all over
https://twitter.com/WallStreetSilv/status/1760796374793081240,It all started going wrong in 1912.
https://twitter.com/WallStreetSilv/status/1760796374793081240,"Not complete yet,..
The last battle...
The battle for the control of thoughts....inside human minds...."
https://twitter.com/WallStreetSilv/status/1760796374793081240,you need a license for everything
https://twitter.com/WallStreetSilv/status/1760796374793081240,We’re ripe for a revolution :)
https://twitter.com/WallStreetSilv/status/1760796374793081240,"& to think, our forefathers left tyrant countries to establish a more free society… but here we are again…. lol"
https://twitter.com/WallStreetSilv/status/1760796374793081240,"we used to call this slavery. I still do, but most dont see it. ""I Could Have Freed a Thousand More Slaves If They Knew They Were Slaves"" Harriet Tubman"
https://twitter.com/WallStreetSilv/status/1760796374793081240,She is spot on!!
https://twitter.com/WallStreetSilv/status/1760796374793081240,Spot on!!!
https://twitter.com/WallStreetSilv/status/1760796374793081240,“Free range human in a tax farm” aptly put :)
https://twitter.com/WallStreetSilv/status/1760796374793081240,"Their ultimate goal is to control everything you do, see, hear and eat from birth to death.

Waffles"
https://twitter.com/WallStreetSilv/status/1760796374793081240,"The government generally should be much smaller with much less departments and definitely with  less power, and, no, it wouldn't be all around disorder"
https://twitter.com/WallStreetSilv/status/1760796374793081240,"Started with the ""Progressive"" Woodrow Wilson who was instrumental in the rise of the administrative state. Presidents come and go, but it is always there controlling our lives. That's what really needs to go."
https://twitter.com/WallStreetSilv/status/1760796374793081240,How is this not what we're all talking about on a daily basis? 
https://twitter.com/WallStreetSilv/status/1760796374793081240,This is happening in China too.
https://twitter.com/WallStreetSilv/status/1760796374793081240,"that’s because you’re a slave but you don’t know it. slavery was never abolished, it simply changed form."
https://twitter.com/WallStreetSilv/status/1760796374793081240,Patriots literally started our own country through war because they were going to tax our tea. Look at us now! Good grief!
https://twitter.com/WallStreetSilv/status/1760796374793081240,"I understand that reasonable limits are understandable so that there is a balance, but shit that is going on right now is just pure tyrany!!!"
https://twitter.com/WallStreetSilv/status/1760796374793081240,"Freedom is nothing more than an illusion. 

We’re all pawns in the game.

Figure out how to play & escape the  race"
https://twitter.com/WallStreetSilv/status/1760796374793081240,"Excellent post, and spot on

 Property tax must be the most evil of all taxes. It makes you a renter on your own land!

Feudal times are back, the serfs just don’t know it!!

A bit of push back is long overdue…"
https://twitter.com/WallStreetSilv/status/1760796374793081240,"Too many weak minded, weak morally, people surrendered to the corrupt government system.   

When politicians think they can tell you what to eat or what to think, it’s time to tell them to shove it up their ass!"
https://twitter.com/WallStreetSilv/status/1760796374793081240,The most pervasive and dumb theme on Elon X is that we don’t need a government and that it is somehow separate from the citizens who staff it and serve the republic in myriad essential and often thankless ways. Obviously it’s exactly what our enemies like Putin want us to believe
https://twitter.com/WallStreetSilv/status/1760796374793081240,Accurate description. #PulseChain solves this by the way. http://Pulselorian.com 
https://twitter.com/WallStreetSilv/status/1760796374793081240,Here’s a start to fixing that coming November:
https://twitter.com/yoursurajnaik/status/1760943566078226740,"Wow realy
It's begger I think
Treating begger"
https://twitter.com/yoursurajnaik/status/1760943566078226740,Shocking to know what a fraud guy this Modi is. Thanks to justice  DyChandrachud for taking action against this fake man. I always doubted him from Day 1.
https://twitter.com/yoursurajnaik/status/1760943566078226740,  Koi naya Shagoofa leke aoo ye Sab nahi chalega  .   
https://twitter.com/yoursurajnaik/status/1760943566078226740,भारत के प्रथम हफ़्ता वसूली प्रधान मंत्री का नाम बताओ ?
https://twitter.com/yoursurajnaik/status/1760943566078226740,"that's how 
@AmitShah
 started in Ahmedabad"
https://twitter.com/yoursurajnaik/status/1760943566078226740,"Only proofs , no spoofs"
https://twitter.com/yoursurajnaik/status/1760943566078226740,He is running a ministry of mandirs.
https://twitter.com/yoursurajnaik/status/1760943566078226740,"Was Adan! also raided to extort or just random corps?
Equality shud be shown in extortion as well"
https://twitter.com/yoursurajnaik/status/1760943566078226740,Vasooli bhai Modi.
https://twitter.com/yoursurajnaik/status/1760943566078226740,Gujarat model successfully implemented nationwide.
https://twitter.com/yoursurajnaik/status/1760943566078226740,इलेक्ट्रोल बॉन्ड का डाटा अगर बाहर आ गया तो पैरो तले जमीन निकल जायेगी। ये तो कुछ भी नही।
https://twitter.com/yoursurajnaik/status/1760943566078226740,. Proof instead of meme
https://twitter.com/yoursurajnaik/status/1760943566078226740,
https://twitter.com/yoursurajnaik/status/1760943566078226740,Is vasooli me NEWS CHANNEL walon ka kitna hissedari hai wo bhi dekhne wali baat hai.
https://twitter.com/yoursurajnaik/status/1760943566078226740,"Sab pata chalega
Electoral Bond ka file aane de"
https://twitter.com/yoursurajnaik/status/1760943566078226740,Acha or wo tizori ki chabhi tere paas h- chutya Sala....
https://twitter.com/yoursurajnaik/status/1760943566078226740,"Kabhi bolte ho Ambani, kabhi Adani abhi corporate"
https://twitter.com/yoursurajnaik/status/1760943566078226740,"Yes we have seen vasooli 10 yrs ago, so the people voted you out... Cope with it"
https://twitter.com/yoursurajnaik/status/1760943566078226740,Acha Jara naam dena company ke and source bhi dena
https://twitter.com/yoursurajnaik/status/1760943566078226740,RSS & BJ Party's Ibrahim Dawood. Sanskaris.
https://twitter.com/yoursurajnaik/status/1760943566078226740,"@dir_ed
 please fact check this news and put him behind bars if found wrong."
https://twitter.com/yoursurajnaik/status/1760943566078226740,Good to hear that ...
https://twitter.com/yoursurajnaik/status/1760943566078226740,Gunda gardi hai sarkari
https://twitter.com/yoursurajnaik/status/1760943566078226740,"Details of all donations has been disclosed
And the dates of raids can be arranged as its a gov. record

So this news agency should arrange all dates of raids

As on which date a company was raided
And the date they donated the money

If these allmost matches

Its a good case"
https://twitter.com/yoursurajnaik/status/1760943566078226740,Newslaundry my foot  
https://twitter.com/yoursurajnaik/status/1760943566078226740,news laundry? HAHAHAHAHHAHAHHAAHAHAHAHHAHAHHAHHAHAA
https://twitter.com/yoursurajnaik/status/1760943566078226740,Vasooli ki guarantee
https://twitter.com/yoursurajnaik/status/1760943566078226740,Then go to court and file a case with so called investigation.
https://twitter.com/yoursurajnaik/status/1760943566078226740,This is like the biggest goal for all con artists and mafia bosses. To be able to run the biggest money making scam with no fear of getting in trouble cause you control all the law enforcement officers.
https://twitter.com/yoursurajnaik/status/1760943566078226740,"Investigation kaun kar raha hai Newslaundary

Zoo_bear Dhruv Rathee ye bhi sansani khej khulaase kar rahe hai

Bs yahi reh gyaa hai dekhne ko"
https://twitter.com/yoursurajnaik/status/1760943566078226740,Chalo kuch to achha kiya!
https://twitter.com/yoursurajnaik/status/1760943566078226740,"The most Reliable news portals in Universe are,
Newslaundry
Wire
Quint
Al Jazeera
Carawan
Print
Youtubers like Dhruv Rathi,Ravish Kumar,Ajeet Anjuman,Ulta Chashma,Newsclick.
They always provide you unbiased News."
https://twitter.com/shukla_tarun/status/1760680282972365106,
https://twitter.com/shukla_tarun/status/1760680282972365106,Disgusting 
https://twitter.com/shukla_tarun/status/1760680282972365106,"Then in place of Airbus atleast butterfly should have maintained for this month rather than removing HBX from the display list at Mumbai,,,"
https://twitter.com/shukla_tarun/status/1760680282972365106,
https://twitter.com/shukla_tarun/status/1760680282972365106,Now they will charge new charge definitely saying Cockroach surcharge fee
https://twitter.com/shukla_tarun/status/1760680282972365106,They too paid for seats.. but yes they should be fined for not wearing seat belts.
https://twitter.com/shukla_tarun/status/1760680282972365106,Ypu shpuld be thankful they didn’t charge you for that cockroach safari 
https://twitter.com/shukla_tarun/status/1760680282972365106,Slowly they'll chew the wiring too and cause a crash!
https://twitter.com/shukla_tarun/status/1760680282972365106,"This just cant be real. Damn, the galley area is not cleaned for long time it seems. When your turn around time matters over health then u see these problems, every Indian airlines has cleanliness issue, it needs to be prioritized."
https://twitter.com/shukla_tarun/status/1760680282972365106,High time such badly run airlines are privatized. Govt should not be running such shoddy businesses.. Babus dont know how to keep things neat and tidy ..
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Everything reminds me of her.
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Nonsense!
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,when expertise is taken on the next level! 
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,it will keep the flys off i guess
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,I like that the table is on cardboard.
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,This bubble dome presentation is truly captivating and innovative. I was amazed by the creativity and uniqueness of the concept. Great job!
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Wow 
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,$500 please
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Magic?
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Fun!
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,For what??
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,This experience will cost nothing less than $1000
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Waooooo beautiful 
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,So beautiful
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Cooking is an art and the chef is the artist
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,So smooth
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,"An original presentation, but it’s not clear what’s on the plate, but I think it’s tasty and healthy."
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Looks so magical
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,"Wow, a bubble dome presentation? Who knew I could combine work and play! Thinking of hosting a sleepover now."
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Can this be possible
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Awesome 
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Do you inhale the bubble? 
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Wow looks good
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,"@gunsnrosesgirl3
 No bubble : $10
With bubble : $500"
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Great 
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,why....
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Will it good  to eat ? 
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,#marsbubble
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,Mmm... bubbles
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,I already feel bad for the server who has to carry the plate and accidentally pops the bubble
https://twitter.com/gunsnrosesgirl3/status/1760525634646814867,I don’t want my food prepared with a toilet plunger.
https://twitter.com/ragiiing_bull/status/1760396549610516788,"@TweetHelperBot
 download this"
https://twitter.com/ragiiing_bull/status/1760396549610516788,1.4 billion population 
https://twitter.com/ragiiing_bull/status/1760396549610516788,Hopefully the scene changes in the next couple of years.
https://twitter.com/ragiiing_bull/status/1760396549610516788,Banga local
https://twitter.com/ragiiing_bull/status/1760396549610516788,"JSR BMKJ Ab aur kya chahiye, leaders ki Jaan lo ge kya ?  Aise main ye hi zindagi milegi "
https://twitter.com/ragiiing_bull/status/1760396549610516788,Can you imagine a Mumbaikar living in Mumbai without his daily adrenaline rush in a local train? If there is no rush the poor fellow might think it is a holiday  
https://twitter.com/ragiiing_bull/status/1760396549610516788,Life goes on !
https://twitter.com/ragiiing_bull/status/1760396549610516788,"Mumbai is good only if one has a Good job and house, else it's a pain to live there."
https://twitter.com/ragiiing_bull/status/1760396549610516788,Size of Earth isn't growing proportionate to the population.
https://twitter.com/ragiiing_bull/status/1760396549610516788,Public mentality never changes
https://twitter.com/ragiiing_bull/status/1760396549610516788,Isko change karna Article 370 ko hatane se bhi jyada difficult hai. The Maxim city thrives on cheap labour in working middle class. They need to change the mindset of the proletariat to bring in reforms.
https://twitter.com/ragiiing_bull/status/1760396549610516788,"@AshwiniVaishnaw
 sir vande Bharat train k inaugration ki jgh inko b dekh lijiye jra"
https://twitter.com/ragiiing_bull/status/1760396549610516788,"Nor does the ministry solve this headache 
@RailMinIndia"
https://twitter.com/ragiiing_bull/status/1760396549610516788,"If any region deserves a separate nation,  it's mumbai. Mumbaikars work tirelessly for the entire nation ,& get this transport system in retuen"
https://twitter.com/ragiiing_bull/status/1760396549610516788,Saddest reality
https://twitter.com/ragiiing_bull/status/1760396549610516788,And there was a plan to build 100 smart cities.
https://twitter.com/ragiiing_bull/status/1760396549610516788,Really sad & pathetic condition & no railway minister has done anything over the last 20 years to remedy this sorry situation.
https://twitter.com/ragiiing_bull/status/1760396549610516788,"#AshwiniVaishnaw 
@AshwiniVaishnaw
 
Presenting the  #real #VandeBharat"
https://twitter.com/ragiiing_bull/status/1760396549610516788,Double Decker trains Kyung Nahi hai
https://twitter.com/ragiiing_bull/status/1760396549610516788,Lol..These will be replaced by new Metro and routes post completion of multiple projects in next 2-3 years. Lets see the same in 2026. But i do feel bad for these ppl since these projects got delayed from 2019-2022 by MVA govt.
https://twitter.com/ragiiing_bull/status/1760396549610516788,"Harsh ground reality of Mumbai and traffic congestion in every tier 1, 2, 3 cities in India, because of population density but no politicians working on it, reason why Indians are leaving the country whoever is getting the chance to move from here."
https://twitter.com/ragiiing_bull/status/1760396549610516788,This is spirit of mumbai
https://twitter.com/ragiiing_bull/status/1760396549610516788,I never take any chances during peak hours during home visit & I think once all the metro in Mumbai starts running in full fledged might that will ease the situation
https://twitter.com/ragiiing_bull/status/1760396549610516788,"@elonmusk
  no hyperloop no future"
https://twitter.com/ragiiing_bull/status/1760396549610516788,Ground realities only change for politicians!!
https://twitter.com/ragiiing_bull/status/1760396549610516788,"""Financial Capital of India"""
https://twitter.com/ragiiing_bull/status/1760396549610516788,Such a pity . This has started happening from May 2014 . Before this they were travelling AC coaches
https://twitter.com/ragiiing_bull/status/1760396549610516788,Mumbai needs a better transport system .
https://twitter.com/ragiiing_bull/status/1760396549610516788,"@pallavict
 changing office timings is must 
Further you go to south Mumbai earlier it should be 8 or 8.30 Churchgate / VT
12.30 goregaon / malad 
Secondly stop vertical growth 
Most slums are going for redevelopment 
No open space is created 
Most corrupt planing department"
https://twitter.com/ragiiing_bull/status/1760396549610516788,"Yes, overpopulation is an issue. But, it could be managed by multi storey buildings and increase in rail lines and trains."
https://twitter.com/ragiiing_bull/status/1760396549610516788,Abhi 15 minutes late chal Rahi hai naye project ke baad 30 minutes inse itni hi umeed hai
https://twitter.com/ragiiing_bull/status/1760396549610516788,True
https://twitter.com/ragiiing_bull/status/1760396549610516788,Free massages to be fair.
https://twitter.com/ragiiing_bull/status/1760396549610516788,"Tozai line in Tokyo is equally crowded. Civic sense is the differentiator. There, people disembark first and then, compartments are literally stuffed with passengers. No stampede like situation yet."
https://twitter.com/na_na_na_na_69/status/1760789611943485744,Buying my wife Fanatics baseball pants instead of lingerie.
https://twitter.com/na_na_na_na_69/status/1760789611943485744,Wet fanatics tshirt contest
https://twitter.com/na_na_na_na_69/status/1760789611943485744,It might just have to be a little bit humid to be successful.
https://twitter.com/na_na_na_na_69/status/1760789611943485744,"I'm sorry, the like count is perfect. I must respect it."
https://twitter.com/na_na_na_na_69/status/1760789611943485744,Understandable.
https://twitter.com/na_na_na_na_69/status/1760789611943485744,Banger
https://twitter.com/na_na_na_na_69/status/1760789611943485744,hahaha
https://twitter.com/na_na_na_na_69/status/1760789611943485744,Fanatics needs to go out of business.
https://twitter.com/na_na_na_na_69/status/1760789611943485744,Same difference?
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Hardik is my favourite cricketer after Virat Kohli 
https://twitter.com/mufaddal_vohra/status/1760961245639770419,That's why actor is a always a actor and cricketer always a Cricketer 
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Scripted Find A Better Writer And Actor
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Scripted
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Just a publicity stunt to cover the memes hardik facing these days.
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Kitna din fit rehna hh iss bar and...i think ipl tk
https://twitter.com/mufaddal_vohra/status/1760961245639770419,May be ads shoot
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Chapri at its best
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Well 
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Filmfare dedo best debut
https://twitter.com/mufaddal_vohra/status/1760961245639770419,"It's scripted by 
@StarSportsIndia"
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Scripted guyzz
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Unreal advertisement PR 
https://twitter.com/mufaddal_vohra/status/1760961245639770419,He should bring his own tiffin box
https://twitter.com/mufaddal_vohra/status/1760961245639770419,"The way camera is paning, I don't think this is a ""leaked"" video. Well thought publicity stunt."
https://twitter.com/mufaddal_vohra/status/1760961245639770419,@ABCricinfo16
https://twitter.com/mufaddal_vohra/status/1760961245639770419,“leaked clip” 
https://twitter.com/mufaddal_vohra/status/1760961245639770419,"@hardikpandya7
 ditching 
@gujarat_titans
 for 
@mipaltan
 15cr  bhari padenge"
https://twitter.com/mufaddal_vohra/status/1760961245639770419,
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Bro stays at hospital for more than 6 months a year and the irony . Also Indian actors should learn acting from Pandya 
https://twitter.com/mufaddal_vohra/status/1760961245639770419,
https://twitter.com/mufaddal_vohra/status/1760961245639770419,'leaked clip'?? This is obviously a 'scripted leak'
https://twitter.com/mufaddal_vohra/status/1760961245639770419,"1 like 1 slap - on MDC Pandya face
1 Rt 1 slap - on MDC Pandya face"
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Wow
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Kaha ki fitness.....ap waise hi fit ho.....
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Farzi Video for sure
https://twitter.com/mufaddal_vohra/status/1760961245639770419,Cheat at other places
https://twitter.com/mufaddal_vohra/status/1760961245639770419,So what he eat?
https://twitter.com/mipaltan/status/1761053113476137069,"Kuldeep Yadav  Dhruv Jurel 

A bond beyond landmarks 

#TeamIndia | #INDvENG | 
@imkuldeep18
 | 
@dhruvjurel21
 | 
@IDFCFIRSTBank"
https://twitter.com/mipaltan/status/1761053113476137069,"MUMBAI INDIANS ARE UNSTOPPABLE IN WPL....!!!!

- Beat Delhi by 4 wickets. 
- Beat Gujarat by 5 wickets. 

Defending champions under Harmanpreet Kaur is ruling the league. "
https://twitter.com/mipaltan/status/1761053113476137069,"  Milestone Alert  

R Ashwin overtook Anil Kumble for most Test wickets in India during his 5/51 against England 

#WTC25 | #INDvENG"
https://twitter.com/mipaltan/status/1761053113476137069,"Captain Harmanpreet Kaur with a six to finish the game! 

- 2 in 2 for Mumbai Indians!!"
https://twitter.com/Politics_2022_/status/1760707137473237398,"Was #TejiBacchan sidelined and #Nargis made #RajyaSabha member? Was #Amitabh forced to resign and fight and win the legal battle on Bofors all alone? 
@INCIndia
 watched when 
@SrBachchan
 filed for bankruptcy and #Pratiksha was to be auctioned. And Amitabh betrayed the Gandhi's!!"
https://twitter.com/Politics_2022_/status/1760707137473237398,He grazes only where grass is green....opportunist
https://twitter.com/Politics_2022_/status/1760707137473237398,"Read the history again.Bachchans &Gandhi were family friends from ilahabad UP. Motilal Nehru was from ilahabad. It was Rajeev Gandhi who asked bachchan to contest against bahuguna the stalwart that time. Bachchan contested &defeated him .due to bofors,he moved away frm politics"
https://twitter.com/Politics_2022_/status/1760707137473237398,It was during the 2004-14 that true selfishness of the children of Rajiv Gandhi came true 
https://twitter.com/Politics_2022_/status/1760707137473237398,"Yeah and to drown those sorrows , Rahul gandhi went on a spiritual tour of THAILAND!!! Yeah everyone knows what he goes through "
https://twitter.com/Politics_2022_/status/1760707137473237398,"AB was the first celebrity to endorse modi before 2014,he was the brand ambassador for Gujarat tourism"
https://twitter.com/Politics_2022_/status/1760707137473237398,So what? Is he now fighting Amitabh Bachchan or #RSS/BJP. If it’s Amitabh Bachchan let Cong workers take break till Rahul Gandhi settles his scores. #Democracy can wait another 30 yrs!
https://twitter.com/Politics_2022_/status/1760707137473237398,"Sorry Amitabh was wrongly implicated in scam and Rajiv Gandhi did not do anything. Amar Singh brought him closure to SP and Jaya is still MP from SP. Bachchan ji has kept himself away from politics, be it BJP, SP Or INC."
https://twitter.com/Politics_2022_/status/1760707137473237398,Is that why before 2014 he was nor invited to marriage of Priyanka
https://twitter.com/Politics_2022_/status/1760707137473237398,What ?? Jaya Bachchan has been in New Delhi thanks to Samajwadi Party. Samajwadi Party and Congress (I) are partners. Now Amitabh was with BJP??
https://twitter.com/Politics_2022_/status/1760707137473237398,"तो बीएसडी के यह पप्पू किसी भी महिला को नाचने वाली बोलेगा क्या ?

अभी कोई राजमाता जी को बार में नाचने वाली बार बाला बोल देगा तो टट्ट-ऐ मुँह में आ जाएँगे"
https://twitter.com/Politics_2022_/status/1760707137473237398,"Actually , what broke my heart is Rahul Gandhi calling Aishwarya Rai as “ naachne waali”"
https://twitter.com/Politics_2022_/status/1760707137473237398,So that's give him permission to call aishwarya rai nachnewali?
https://twitter.com/Politics_2022_/status/1760707137473237398,So hence it's okay to say bad things about Aishwarya Rai .... congress logic !
https://twitter.com/Politics_2022_/status/1760707137473237398,"And why was Bachchan treated like this after Rajiv’s death ? Sonia stayed in the Bachchan home before she got married , he was there for the funeral , comforting the family .   . Why was Aishwarya targeted ? She has nothing to do with this ."
https://twitter.com/Politics_2022_/status/1760707137473237398,Panama papers
https://twitter.com/Politics_2022_/status/1760707137473237398,"Okay, so that gives you the right to humiliate him and his family members publicly multiple times calling them “naachnewala/naachnewali” ?"
https://twitter.com/Politics_2022_/status/1760707137473237398,Oh thats why Pappu told bachan DIL as nachaniya
https://twitter.com/Politics_2022_/status/1760707137473237398,"Amitabh betrayed so many people, he only loves money,"
https://twitter.com/Politics_2022_/status/1760707137473237398,"After Amitabh’s company ABC got bankrupt, he ran away from India to sell medicines in the US where his brother Ajitabh Bachchan was already in pharmaceuticals trade

The brothers didn’t get on well so he returned. He was then bailed out by Subroto Roy, Amar Singh & Mulayam Singh."
https://twitter.com/Politics_2022_/status/1760707137473237398,"But now Rahul Gandhi is colluding with his dad’s murderers , so he has no moral grounds to preach others or belittle others"
https://twitter.com/Politics_2022_/status/1760707137473237398,"Get your facts straight, it was this family that betrayed Amitabh and left him alone in his crisis time, later the SP MLA helped him recover."
https://twitter.com/Newsweek/status/1760781821451681795,Nikki Haley floats ultimatum for Congress to get paid https://newsweek.com/nikki-haley-floats-ultimatum-congress-get-paid-1872647?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1708638025…
https://twitter.com/Newsweek/status/1760781821451681795,"She is standing for which party ?

The Democrats????????"
